event_id,date,time,region,lat,lon,vessel_name,mmsi,imo,ship_type,event_type,risk_score,triggered_rules,nearest_infrastructure,distance_km,sources,confidence,notes
NBGM-20260710-0001,2026-07-10,15:01:04+00:00,Bornholm Area,55.2,15.9,,,,unknown,sar_unmatched,0,[],,,mock,low,Unmatched SAR research lead; detection_id=mock-sar-002; not confirmation of illicit activity.
NBGM-20260710-0002,2026-07-10,10:01:04+00:00,Barents Sea North,72.5,29.9,,,,unknown,sar_unmatched,0,[],,,mock,low,Unmatched SAR research lead; detection_id=mock-sar-003; not confirmation of illicit activity.
NBGM-20260715-0001,2026-07-15,07:30:45+00:00,Gulf of Finland,59.703193,24.558073,LOOD,276002890,0,unknown,pipeline_proximity,6,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.2 km from pipeline Balticconnector (Inkoo–Paldiski)""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",Balticconnector (Inkoo–Paldiski),0.2,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0002,2026-07-15,07:30:45+00:00,Gulf of Finland,59.703193,24.558073,LOOD,276002890,0,unknown,identity_change,6,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.2 km from pipeline Balticconnector (Inkoo–Paldiski)""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",Balticconnector (Inkoo–Paldiski),0.2,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0003,2026-07-15,07:30:45+00:00,Gulf of Finland,59.703193,24.558073,LOOD,276002890,0,unknown,sensitive_area_repeat_presence,6,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.2 km from pipeline Balticconnector (Inkoo–Paldiski)""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",Balticconnector (Inkoo–Paldiski),0.2,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0001,2026-07-15,07:30:46+00:00,Gulf of Finland,59.772328,24.517075,NEREID,230938050,0,service,pipeline_proximity,7,"[{""rule_id"": ""infra_proximity_5km"", ""points"": 2, ""evidence"": ""4.0 km from pipeline Balticconnector (Inkoo–Paldiski)""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",Balticconnector (Inkoo–Paldiski),4.0,digitraffic,low,Risk-score revision of existing research lead. Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0002,2026-07-15,07:30:46+00:00,Gulf of Finland,59.772328,24.517075,NEREID,230938050,0,service,identity_change,7,"[{""rule_id"": ""infra_proximity_5km"", ""points"": 2, ""evidence"": ""4.0 km from pipeline Balticconnector (Inkoo–Paldiski)""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",Balticconnector (Inkoo–Paldiski),4.0,digitraffic,low,Risk-score revision of existing research lead. Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0003,2026-07-15,07:30:46+00:00,Gulf of Finland,59.772328,24.517075,NEREID,230938050,0,service,sensitive_area_repeat_presence,7,"[{""rule_id"": ""infra_proximity_5km"", ""points"": 2, ""evidence"": ""4.0 km from pipeline Balticconnector (Inkoo–Paldiski)""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",Balticconnector (Inkoo–Paldiski),4.0,digitraffic,low,Risk-score revision of existing research lead. Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0004,2026-07-15,05:53:07+00:00,Gulf of Finland,60.180252,24.907087,KOILLISTUULI,230094240,0,service,cable_proximity,6,"[{""rule_id"": ""infra_proximity_10km"", ""points"": 1, ""evidence"": ""9.8 km from cable Helsinki–Tallinn telecom corridor""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",Helsinki–Tallinn telecom corridor,9.8,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0001,2026-07-15,07:30:43+00:00,Gulf of Finland,59.942062,24.031183,URSUS,230992650,0,cargo,pipeline_proximity,8,"[{""rule_id"": ""infra_proximity_10km"", ""points"": 1, ""evidence"": ""8.1 km from pipeline Balticconnector (Inkoo–Paldiski)""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",Balticconnector (Inkoo–Paldiski),8.1,digitraffic,low,Risk-score revision of existing research lead. Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0002,2026-07-15,07:30:43+00:00,Gulf of Finland,59.942062,24.031183,URSUS,230992650,0,cargo,identity_change,8,"[{""rule_id"": ""infra_proximity_10km"", ""points"": 1, ""evidence"": ""8.1 km from pipeline Balticconnector (Inkoo–Paldiski)""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",Balticconnector (Inkoo–Paldiski),8.1,digitraffic,low,Risk-score revision of existing research lead. Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0003,2026-07-15,07:30:43+00:00,Gulf of Finland,59.942062,24.031183,URSUS,230992650,0,cargo,sensitive_area_repeat_presence,8,"[{""rule_id"": ""infra_proximity_10km"", ""points"": 1, ""evidence"": ""8.1 km from pipeline Balticconnector (Inkoo–Paldiski)""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""identity_change"", ""points"": 3, ""evidence"": ""Identity field changed compared with stored AIS position""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",Balticconnector (Inkoo–Paldiski),8.1,digitraffic,low,Risk-score revision of existing research lead. Automated research lead for human review; not a confirmed incident.
